VolcanoTurtleBuff	Spews * meteors each turn at random locations within a radius of *.	*個の隕石を半径*タイル内のランダムな場所に吐き出す。
VolcanoTurtleBuff	The meteors create explosions with * tiles radii, dealing * fire damage.	隕石は半径*タイルの爆発を起こし、*ファイアダメージを与える。
VolcanoTurtleBuff	Tiles directly hit take * additional physical damage and become floor tiles.	直撃したタイルは追加で*物理ダメージを受け、床タイルになる。
VolcanoTurtleBuff	Enemies directly hit are stunned for * turn.	直撃した敵は*ターンの間スタンする。
ArcanePhoenixBuff	On death, deals * arcane damage to all tiles within *.  Friendly units gain * SH instead of taking damage.  Melts walls.	死亡時、*アーケインダメージを周囲*タイルに与える。味方ユニットはダメージを受けるのではなく*SHを得る。壁を溶かす。
RotatingImmunity	Randomly gains * fire, lightning, or physical resist each turn.	毎ターン、ランダムに*ファイアかライトニングか物理耐性を得る。
Haunted	* Hostile ghosts spawn near the cursed unit each turn.  The ghosts last * turns.	呪われたユニットの近くに毎ターン敵対的なゴースト*体が出現する。ゴーストは*ターン持続する。
FrozenBuff	Cannot move or use abilities.	移動や能力の使用ができない。
FrozenBuff	Ends on taking fire or physical damage.	ファイアや物理ダメージを受けると解除される。
FearBuff	Cannot move or cast spells.	移動や呪文の詠唱ができない。
HivemindBuff	All damage taken is shared evenly amongst all monsters with the same name	受けたダメージを同じ名前のモンスター全員で均等に分け合う。
BlizzardBeastBuff	When damaged, creates * blizzards up to * tiles away	ダメージを受けると、吹雪*つを*タイル以内に作り出す。
Stun	Cannot move or cast spells.	移動や呪文の詠唱ができない。
SilenceAura	Each turn, apply Silence for * turns to all enemies within a * tile radius	毎ターン、*ターンの沈黙を半径*タイル内のすべての敵に与える。
SilenceAura	Each turn, deals * Dark damage to enemy units in a * tile radius	毎ターン、*ダークダメージを半径*タイル内の敵ユニットたちに与える。
ConcussiveIdolBuff	Whenever an enemy takes damage, it is stunned for * turn.	敵がダメージを受けるたび、それは*ターンの間スタンする。
Poison	Takes * poison damage each turn.  Cannot heal.	毎ターン*ポイズンダメージを受ける。回復できない。
DreamerBuff	*% chance to teleport each other unit up to * squares away each turn	毎ターン、他の各ユニットを*%の確率で*マス以内のタイルにテレポートさせる。
SpiderBuff	Weaves webs each turn	毎ターン、クモの巣を張る。
IdolOfAgonyBuff	Redeal all non [poison] damage dealt to enemies as [poison] damage.	敵に与えた[ポイズン:poison]でないダメージすべてを[ポイズン:poison]ダメージとして再度与える。
MedusaSnakeBuff	Spawns snakes when damaged.  One snake is spawned per * hp damage taken, rounded up.	ダメージを受けるとヘビを生む。受けたダメージ*HPにつき1匹（切上）のヘビが召喚される。
SnakeShedding	Each turn, summons * snakes	各ターン、*匹のヘビを召喚する。
MindMaggotBuff	May grow wings	成長すると翼を生やす。
PetrifyBuff	Cannot move or act.	移動や行動ができない。
RedMushboomBuff	On death, deals * fire damage to adjacent units	死亡時、隣接するユニットたちに*ファイアダメージを与える。
IdolOfFiendsBuff	For every * damage dealt, summon a tormentor.  For every *, summon a fiend	与えられた*ダメージごとにトーメンター1体を召喚する。*ごとにフィーンド1体を召喚する。
TurtleBuff	Withdraws into its shell upon taking damage, gaining *% physical, fire, and lightning resistance	ダメージを受けると甲羅に引っ込み、、*%の物理とファイアとライトニングの耐性を得る。
GlassPetrifyBuff	Cannot move or act.	移動や行動ができない。
PhoenixBuff	On death, deals * fire damage to all tiles within *.  Friendly units are healed instead of damaged.	死亡時、*ファイアダメージを周囲*タイルに与える。味方ユニットはダメージを受けるのではなく回復する。
IdolOfNightmaresBuff	Each turn, deals * Dark or Arcane damage to enemy units in a * tile radius	毎ターン、*ダークかアーケインダメージを半径*タイル内の敵ユニットたちに与える。
ImpHarvestBuff	Cooldown counters reduced by * whenever a demon dies	デーモンが死ぬたびにクールダウンのカウンターが*減少する。
ClarityBuff	Cannot be stunned	スタンしない。
LesserCultistAlterBuff	Whenever a cultist dies, randomly spawns * fire or spark imps	カルティストが死ぬたび、ランダムにファイアかスパークのインプ*体を召喚する。
LifeIdolBuff	Each turn all friendly living units are healed for *	毎ターン、すべての味方の生物ユニットが*回復する。
BlindBuff	All spells reduced to melee range	すべての呪文の射程が近接射程になる。
ThornQueenThornBuff	Summons a fae thorn up to * tiles away each turn.	毎ターン、フェイ・ソーン1体を*タイル以内に召喚する。
FrogPopeDefense	Cannot lose more than * HP in one turn	1ターンに*以上のHPを失わない。
BoxOfWoeBuff	Releases * evil spirits when destroyed	破壊されたとき、邪悪なスピリット*体を解放する。
BansheeFearAura	Each turn, apply Fear for * turn to all enemies within a * tile radius	毎ターン、*ターンの恐怖を半径*タイル内のすべての敵に与える。
BansheeFearAura	Each turn, deals * Dark damage to enemy units in a * tile radius	毎ターン、*ダークダメージを半径*タイル内の敵ユニットたちに与える。
ToxicGazeBuff	Whenever an enemy unit in line of sight takes poison damage, redeal that damage as dark damage.	視界内の敵ユニットがポイズンダメージを受けるたび、そのダメージをダークダメージとして再度与える。
RegenShieldsBuff	Regenerate * SH per turn up to * SH.	毎ターン*SHを再生する（最大*SH）。
BloodGolemVampirism	Half of all damage dealt is converted to healing, and then redirected and redistributed to all [living] allies	与えたダメージの半分が回復に変換され、その後すべての[生物:living]の味方に再配分される。
CrystalEyesBuff	Deal additional *% Arcane damage	追加で*%のアーケインダメージを与える。
TeleportyBuff	Each turn, *% chance to blink to a random tile up to * tiles away	毎ターン、*%の確率で*タイル以内のランダムなタイルに瞬間移動する。
IdolOfPoisonBuff	Each turn, extend poison duration by * on each poisoned enemy, and poison each other enemy.	毎ターン、毒状態の各敵の毒の持続時間を*延長し、他のすべての敵を毒にする。
InsanityAura	Enemies within * tiles take * arcane damage and lose * random spell charge each turn.	毎ターン、*タイル以内の敵は*アーケインダメージを受け、ランダムな呪文チャージ*つを失う。
GreaterCultistAlterBuff	Whenever a cultist dies, gains a charge.  At * charges, summons a dark or fiery tormentor.	カルティストが死ぬたび、チャージを1つ得る。*チャージたまるとダークかファイアリーのトーメンターを召喚する。
GreaterCultistAlterBuff	Current charges: *	現在のチャージ:*。
BloodGolemBuff	All damage taken is redirected and redistributed to all [living] allies	受けたダメージはすべての[生物:living]の味方に再配分される。
Silence	Cannot cast spells	呪文を唱えられない
HungryIceWallBuff	+* minion duration whenever an enemy dies of ice damage	敵がアイスダメージで死ぬたび、ミニオンの持続時間+*。
WizardIcyVengeance	Whenever an ally dies, deal [*_ice:ice] damage to up to [*:num_targets] random enemies in a [*_tile_radius:radius].	味方が死ぬたび、[*アイス:ice]ダメージをランダムな[*体:num_targets]までの[半径*タイル:radius]内の敵に与える。
WaterElementalRegenBuff	Regenerates * hp per turn while soaked, otherwise dies	浸水している間、毎ターン*HP回復する。そうでない場合は死ぬ。
CrucibleOfPainEnemyBuff	Spawn a furnace hound for every * damage dealt to any unit.	敵に与えられた*ダメージごとに、ファーネス・ハウンド1体を召喚する。
TurtleDefenseBonus	Cannot move or cast spells.	移動や呪文の詠唱ができない。
VenomBeastThorns	Poisons melee attackers for * turns	近接攻撃者を*ターンの毒にする。
ArcaneCredit	Charge cost of next non [arcane] spell will be refunded.	次の[アーケイン:arcane]でない呪文のチャージコストが返還される。
ConstructShards	Whenever a friendly construct dies, deal * fire or physical damage to up to * enemies in a * tiles burst	味方のコンストラクトが死ぬたび、*ファイアか物理ダメージを*体までの*タイル内の敵に与える。
CultNecromancyBuff	Whenever a cultist dies, raises that unit as a skeleton.	カルティストが死ぬたび、スケルトンとして復活させる。
BannerBuff	Gates spawn units * turn faster	ゲートがユニットを*ターン早く出現させる。
NightmareToadDefense	On taking damage, stuns the source for * turns.	ダメージを受けると、その発生源を*ターンの間スタンさせる。
TreeHealAura	Heals a random damaged ally for * HP each turn	毎ターン、ダメージを受けているランダムな味方1体を*HP回復する。
DarknessBuff	Blind all units on the map.	マップ上のすべてのユニットを[盲目:Blind]にする。
TrollRegenBuff	Regenerate * HP per turn.  Disabled on taking fire damage.	毎ターン*HP回復する。ファイアダメージを受けると回復しない。
VenomBeastHealing	Heals whenever a unit takes poison damage	いずれかのユニットがポイズンダメージを受けるたび回復する。
SpikeBeastBuff	When damaged, has a *% chance to deal * physical damage to all units within * tiles	ダメージを受けると、*%の確率で*物理ダメージを*タイル内のすべてのユニットに与える。
LightningAura	Each turn, deals * Lightning damage to enemy units in a * tile radius	毎ターン、*ライトニングダメージを半径*タイル内の敵ユニットたちに与える。
StunImmune	Cannot be stunned, frozen, or petrified.	スタンや凍結や石化を受けない。
FaestoneBuff	Whenever its master casts a nature spell, gains * HP.	主がネイチャー呪文を詠唱するたび、*HPを得る。
FaestoneBuff	Whenever its master casts an arcane spell, teleports near the target and gains * shield.	主がアーケイン呪文を詠唱するたび、対象の近くに瞬間移動し、*シールドを得る。
ReincarnationBuff	Reincarnates when killed (* times)	死亡時に転生する（*回）。
IdolOfSlimeBuff	Whenever a non slime ally dies, summons a slime where that ally died.	スライムでない味方が死ぬたび、その味方が死んだ場所にスライム1体を召喚する。
GlassReflection	Whenever a sorcery spell is cast targeting this unit, this unit casts a copy of that spell targeting the original caster	このユニットを対象としてソーサリー呪文が詠唱されるたび、このユニットはその呪文のコピーを元の詠唱者を対象として詠唱する。
ClarityIdolBuff	Each turn cure stun or berserk on a random ally	毎ターン、ランダムな味方1体のスタンや狂乱を治療する。
ClarityIdolBuff	Cure stun, berserk, or petrify on a random ally each turn	毎ターン、ランダムな味方1体のスタンや狂乱や石化を治療する。
PurityBuff	Immune to debuffs.	デバフを受けない。
VampirismIdolBuff	Whenever an ally deals damage, it heals for half that much HP.	味方がダメージを与えるたび、それはその半分のHPを回復する。
NecromancyBuff	Whenever a non-undead unit dies, raises that unit as a skeleton.	アンデッドでないユニットが死ぬたび、そのユニットをスケルトンとして復活させる。
VampireCountBuff	Whenever any enemy unit takes dark damage, heals for * HP	敵ユニットがダークダメージを受けるたび、*HP回復する。
UndeathIdolBuff	Each turn all friendly undead units heal for * and all enemy living units take * dark damage.  [Living] units are raised as skeletons if they are not already [undead].	毎ターン、すべての味方のアンデッドユニットが*回復し、すべての敵の生物ユニットが*ダークダメージを受ける。[生物:Living]ユニットは、すでに[アンデッド:undead]でない場合、スケルトンとして復活する。
IcyMetabolism	Heals * HP per turn while frozen	凍結している間、毎ターン*HP回復する。
SporeBeastBuff	When damaged, has a *% chance to heal all units within * tiles * HP	ダメージを受けると、*%の確率で*タイル内のすべてのユニットを*HP回復する。
RedRiderHealingBuff	Whenever another unit takes physical or fire damage, heals * hp.	他のユニットが物理かファイアダメージを受けるたび、*HP回復する。
MoonCrownBuff	Each turn, deals * Holy or Arcane damage to enemy units in a * tile radius	毎ターン、*ホーリーかアーケインダメージを半径*タイル内の敵ユニットたちに与える。
MemoryEnhancement	The effect of memory orbs is doubled	メモリー・オーブの効果が2倍になる。
OphanDefense	Redirect all damage to allies	すべてのダメージを味方に再配分する。
FieryVengeanceBuff	Whenever an ally dies, deals * fire damage to a random enemy unit up to * tiles away.	味方が死ぬたび、*ファイアダメージを*タイル以内のランダムな敵ユニット1体に与える。
YouthElixerBuff	Spell charges are refunded	呪文のチャージが返還される。
BloodrageBuff	Damage increased by *       ダメージが*増加する。
