ImpHarvestBuff	imp harvest	インプ・ハーベスト
PermenanceBuff	permanence	永続
ReincarnationBuff	reincarnation *	転生（*）
Stoneskin	stoneskin	ストーン・スキン
FieryVengeanceBuff	idol of fiery vengeance	アイドル・オブ・ファイアリー・ベンジェンス
PainMirror	pain mirror	ペイン・ミラー
ConversionBuff	mercy	マーシー
LightningAura	charged body	チャージド・ボディ
GiantStrengthBuff	unnamed buff	無名のバフ
PyrostaticStack	pyrostatic charge	パイロスタティック・チャージ
HivemindBuff	fleshbound	フレッシュバウンド
BerserkBuff	berserk	狂乱
AftershocksBuff	aftershocks	アフターショックス
ConcussiveIdolBuff	concussive idol	コンカッシブ・アイドル
DeathrouletteStack	roulette	ルーレット
OculusBuff	oculus	オキュラス
Upgrade	unnamed buff	無名のバフ
VoidBomberBuff	suicide explosion	自爆
ConductanceBuff	conductance	導電
Poison	poison	毒
StoneShield	stone shield	ストーン・シールド
SilenceAura	dark aura	ダーク・オーラ
UndeathIdolBuff	aura of undeath	オーラ・オブ・アンデス
FragilityBuff	fragile	脆弱性
EnergyShield	energy shield	エナジーシールド
SoulpowerBuff	soulpower	ソウルパワー
YouthElixerBuff	youth	活力
ArcaneCredit	arcane credit	アーケイン・クレジット
SporeBeastBuff	spores	胞子
ConstructShards	necromechanomancery	ネクロメカノマンサリー
MedusaSnakeBuff	unnamed buff	無名のバフ
FrozenBuff	frozen	凍結
RefreezeBuff	refreezing	再凍結
IdolOfSlimeBuff	unnamed buff	無名のバフ
RotatingImmunity	unnamed buff	無名のバフ
LifeIdolBuff	aura of life	オーラ・オブ・ライフ
LesserCultistAlterBuff	unnamed buff	無名のバフ
DarknessBuff	darkness	ダークネス
SoakedBuff	soaked	浸水
Silence	silenced	沈黙
IdolOfAgonyBuff	aura of agony	オーラ・オブ・アゴニー
OphanDefense	unnamed buff	無名のバフ
RegenShieldsBuff	regenerating shields	シールド再生
FaestoneBuff	fae stone buff	フェイ・ストーン
EssenceAuraBuff	unnamed buff	無名のバフ
PhoenixBuff	phoenix fire	フェニックス・ファイア
CowardBuff	running away	逃走
BansheeFearAura	dark aura	ダーク・オーラ
VampirismIdolBuff	idol of vampirism	アイドル・オブ・バンピリズム
BoxOfWoeBuff	unnamed buff	無名のバフ
SoulCharge	soulcharge	ソウルチャージ
cockatriceScaleArmorBuff	petrify armor	ペトリファイ・アーマー
ThornQueenThornBuff	unnamed buff	無名のバフ
Stun	stunned	スタン
IdolOfNightmaresBuff	damage aura	ダメージ・オーラ
IronShell	iron plating	鉄装甲
IdolOfPoisonBuff	aura of venom	オーラ・オブ・ベノム
Starbask	starbask	スターバスク
FiendConductance	conductivity	導電性
PetrifyBuff	petrified	石化
TurtleBuff	unnamed buff	無名のバフ
Equipment	unnamed buff	無名のバフ
IdolOfFiendsBuff	unnamed buff	無名のバフ
PillarDisruptionDebuff	flammable	可燃性
ClarityBuff	unnamed buff	無名のバフ
MemoryEnhancement	memory enhancement	記憶強化
NightmareToadDefense	unnamed buff	無名のバフ
EntropyBuff	entropy	エントロピー
CultNecromancyBuff	unnamed buff	無名のバフ
ElementalReincarnationBuff	unnamed buff	無名のバフ
BloodflameBuff	bloodfire	ブラッドファイア
FireBomberBuff	suicide explosion	自爆
ArcanePhoenixBuff	phoenix starfire	フェニックス・スターファイア
GreaterCultistAlterBuff	unnamed buff	無名のバフ
CloudArmorBuff	unnamed buff	無名のバフ
GlassPetrifyBuff	glassed	ガラス化
VenomBeastHealing	venom drinker	毒飲み
InsanityAura	insanity aura	インサニティ・オーラ
SnakeShedding	unnamed buff	無名のバフ
WildfireCharge	wildfire	ワイルドファイア
VoidBeamResistDebuff	arcane vulnerability	アーケイン脆弱性
VolcanoTurtleBuff	volcano shell	火山甲羅
StunImmune	clarity	スタン耐性
TurtleDefenseBonus	inside shell	甲羅の中
BannerBuff	unnamed buff	無名のバフ
GlassReflection	sorcery mirror	ソーサリー・ミラー
MagmaShellBuff	magma shell	マグマの甲羅
EnervationBuff	enervation	衰弱
PurityBuff	purity	ピュリティ
ClarityIdolBuff	aura of clarity	オーラ・オブ・クラリティ
Electrified	electrified	帯電
MeltedArmor	armor melted	アーマー溶解
ResistFire	fire protection	ファイア・プロテクション
MindMaggotBuff	unnamed buff	無名のバフ
Immobilize	immobilized	移動不可
MoonCrownBuff	damage aura	ダメージ・オーラ
DreamerBuff	unnamed buff	無名のバフ
VampireCountBuff	blood tax	ブラッド・タックス
TrollRegenBuff	troll regeneration	トロールの再生
BloodGolemBuff	blood bond	ブラッド・ボンド
ResistIce	ice protection	アイス・プロテクション
NecromancyBuff	unnamed buff	無名のバフ
CrucibleOfPainEnemyBuff	unnamed buff	無名のバフ
GlassRefractionBuff	unnamed buff	無名のバフ
AetherSicknessBuff	aether poison	エーテル・ポイズン
Acidified	acidified	酸化
ResistDark	holy protection	ホーリー・プロテクション
